zinc_id	prot_id	smiles	net_charge	desolv_apol	desolv_pol	ph_mod_fk	true_logp	true_mwt	hba	hbd	num_aliphatic_rings	num_aromatic_rings	num_heavy_atoms	num_rotatable_bonds	chiral_centers	reactive	reactivity	tpsa	tranche_name	tranche_prefix	calalog
ZINC000000661581	13656900	COc1ccc(-c2ccc3c(N)c(C(=O)NCc4ccc(C)cc4)sc3n2)cc1	0	7.61	-10.93	0	4.79252	403.507	5	2	0	4	29	5	[]	0	Anodyne	77	HJAARN	HJ	aggregators
ZINC000000661666	75967136	Nc1c2ccc(-c3ccc(F)cc3)nc2sc1C(=O)NCc1ccc(Cl)cc1	0	8.54	-10.8	0	5.268	411.889	4	2	0	4	28	4	[]	0	Anodyne	68	HKAARN	HK	aggregators
ZINC000002146508	13676242	O=C(Nc1nnc(Sc2nc3cc(Cl)ccc3s2)s1)c1ccc(Cl)c(Cl)c1	0	8.61	-19.58	0	6.5115	473.819	7	1	0	4	27	4	[]	0	Anodyne	67	JKAARN	JK	aggregators
ZINC000000678795	82282268	O=C(Oc1cccc(/C=C2\C(=O)NN(c3ccc(Cl)c(Cl)c3)C2=O)c1)c1cccs1	0	11.21	-14.33	2	4.7355	459.31	5	1	1	3	30	4	[]	10	Clean	75	JJCALN	JJ	aggregators
ZINC000000678795	82282263	O=C(Oc1cccc(/C=C2\C(=O)[N-]N(c3ccc(Cl)c(Cl)c3)C2=O)c1)c1cccs1	-1	10.48	-48.5	0	5.5196	458.302	5	0	1	3	30	4	[]	10	Clean	77	JJCARM	JJ	aggregators
ZINC000000679638	13646358	Cn1c2c(ncn2CC(=O)Nc2ccc3c4c(cccc42)CC3)c(=O)n(C)c1=O	0	9.57	-26.36	0	1.3242	389.415	7	1	1	4	29	3	[]	0	Anodyne	90	GDAARN	GD	aggregators
ZINC000254555142	69698106	O=C1C=CC(=NNc2ccc(Br)cc2)C=C1	0	6.62	-10.68	0	2.9121	277.121	3	1	1	1	16	2	[]	10	Clean	41	CJCARN	CJ	aggregators
ZINC000100438654	69492636	O=C1OC(=CNc2ccc(Oc3ccccc3)cc2)c2ccccc21	0	11.6	-14.48	0	5.0598	329.355	4	1	1	3	25	4	[]	0	Anodyne	47	EKAARN	EK	aggregators
ZINC000100438656	69492871	O=C1OC(=CNc2ccc(Oc3ccccc3)cc2)c2ccccc21	0	11.6	-14.48	0	5.0598	329.355	4	1	1	3	25	4	[]	0	Anodyne	47	EKACRN	EK	aggregators
ZINC000000721192	13638461	Cc1nn(-c2nnc(NCc3ccccc3)nn2)c(C)c1Br	0	11.16	-7.24	0	2.44374	360.219	7	1	0	3	22	4	[]	0	Anodyne	81	FEAARN	FE	aggregators
