zinc_id	supplier_code	substance.preferred_name	substance.smiles	substance.purchasable	substance.purchasability	substance.rb	substance.reactive	substance.features	calalog
ZINC000000656768	1001185	NA	COc1ccc(/C=C/C(=O)NCc2cn(C)nc2C)cc1COc1ccc(Cl)cc1Br	50	Premier	8	0	set(['aggregator'])	aggregators
ZINC000000661581	1004082	NA	COc1ccc(-c2ccc3c(N)c(C(=O)NCc4ccc(C)cc4)sc3n2)cc1	50	Premier	5	0	set(['aggregator'])	aggregators
ZINC000000661666	1004121	NA	Nc1c2ccc(-c3ccc(F)cc3)nc2sc1C(=O)NCc1ccc(Cl)cc1	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000002146508	1_01	NA	O=C(Nc1nnc(Sc2nc3cc(Cl)ccc3s2)s1)c1ccc(Cl)c(Cl)c1	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000000678795	1016780	NA	O=C(Oc1cccc(/C=C2\C(=O)NN(c3ccc(Cl)c(Cl)c3)C2=O)c1)c1cccs1	50	Premier	4	10	set(['aggregator'])	aggregators
ZINC000000679638	1017560	NA	Cn1c2c(ncn2CC(=O)Nc2ccc3c4c(cccc42)CC3)c(=O)n(C)c1=O	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000254555142	1_02	NA	Oc1ccc(N=Nc2ccc(Br)cc2)cc1	50	Premier	2	10	set(['aggregator'])	aggregators
ZINC000100438654	1_03	NA	O=C1O/C(=C\Nc2ccc(Oc3ccccc3)cc2)c2ccccc21	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000100438656	1_03	NA	O=C1O/C(=C/Nc2ccc(Oc3ccccc3)cc2)c2ccccc21	30	Agent	4	0	set(['aggregator'])	aggregators
ZINC000254013158	1_04	NA	O=C(NN=Cc1ccccc1O)C(=O)NN=Cc1ccccc1O	1	Annotated	4	50	set(['aggregator'])	aggregators
ZINC000000721192	1046666	NA	Cc1nn(-c2nnc(NCc3ccccc3)nn2)c(C)c1Br	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000004529848	1_05	NA	Cc1cc(Cl)cc2c1C(=O)/C(=C1\Sc3cc(Cl)cc(C)c3C1=O)S2	50	Premier	0	30	set(['aggregator'])	aggregators
ZINC000257132655	1_06	NA	O=S(=O)(O)c1cc(O)c(N=Nc2c(O)ccc3ccccc32)c2ccccc21	50	Premier	3	10	set(['aggregator'])	aggregators
