zinc_id	prot_id	smiles	net_charge	desolv_apol	desolv_pol	ph_mod_fk	true_logp	true_mwt	hba	hbd	num_aliphatic_rings	num_aromatic_rings	num_heavy_atoms	num_rotatable_bonds	chiral_centers	reactive	reactivity	tpsa	tranche_name	tranche_prefix	calalog
ZINC000003833823	25857431	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO	0	7.86	-14.03	0	3.6959	330.468	3	1	4	0	24	2	[(1, 'S'), (4, 'S'), (5, 'S'), (14, 'R'), (16, 'S'), (19, 'S')]	30	Mild	54	EHEARN	EH	hmdbendo
ZINC000008214684	42772305	C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	-1	-0.4	-59.83	0	2.0255	514.705	7	4	4	0	35	7	[(1, 'R'), (13, 'R'), (16, 'S'), (17, 'R'), (18, 'R'), (21, 'S'), (23, 'R'), (27, 'S'), (29, 'S'), (31, 'S'), (33, 'R')]	0	Anodyne	146	KEAARM	KE	hmdbendo
ZINC000003833824	28956163	C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@H](C(=O)CO)[C@@]3(C=O)C[C@H](O)[C@@H]12	0	3.79	-23.22	0	1.8457	360.45	5	2	4	0	26	3	[(1, 'R'), (10, 'S'), (11, 'S'), (14, 'S'), (19, 'R'), (23, 'S'), (25, 'S')]	30	Mild	91	FDEARN	FD	hmdbendo
ZINC000002516840	28179151	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	0	14.35	-2.74	0	7.38870000000001	386.664	1	1	4	0	28	5	[(6, 'R'), (8, 'R'), (11, 'S'), (12, 'S'), (17, 'R'), (21, 'R'), (23, 'S'), (26, 'R')]	0	Anodyne	20	GKAARN	GK	hmdbendo
ZINC000003875383	29940568	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	0	14.33	-1.87	0	7.38870000000001	386.664	1	1	4	0	28	5	[(6, 'R'), (8, 'R'), (11, 'S'), (12, 'S'), (17, 'S'), (21, 'R'), (23, 'S'), (26, 'R')]	0	Anodyne	20	GKAARN	GK	hmdbendo
ZINC000001691515	60712698	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	0	8.3	-6.35	0	4.5153	316.485	2	1	4	0	23	1	[(3, 'S'), (6, 'S'), (7, 'S'), (12, 'R'), (16, 'R'), (18, 'S'), (21, 'S')]	0	Anodyne	37	DJAARN	DJ	hmdbendo
ZINC000004096762	29024909	C[C@]12C[C@H](O)[C@H]3[C@@H](CC[C@@H]4C[C@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO	0	2.69	-9.5	0	2.5384	350.499	4	3	4	0	25	2	[(1, 'S'), (3, 'S'), (5, 'S'), (6, 'S'), (9, 'R'), (11, 'R'), (15, 'S'), (17, 'S'), (20, 'S')]	0	Anodyne	77	FFABRN	FF	hmdbendo
ZINC000006036223	28722259	C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	-1	10.19	-51.92	0	4.0925	373.557	3	1	4	0	27	4	[(1, 'R'), (7, 'R'), (10, 'S'), (11, 'S'), (16, 'S'), (20, 'R'), (22, 'S'), (25, 'R')]	0	Anodyne	60	FKAARM	FK	hmdbendo
ZINC000040164199	32529052	C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@@H](O)[C@]12C	-1	4.52	-53.74	0	2.114	407.571	5	3	4	0	29	4	[(1, 'R'), (7, 'R'), (10, 'S'), (11, 'R'), (12, 'R'), (15, 'S'), (17, 'R'), (21, 'S'), (23, 'S'), (25, 'R'), (27, 'R')]	0	Anodyne	100	HGAFRM	HG	hmdbendo
ZINC000004097107	60413672	CC(=O)[C@H]1[C@H](O)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	0	4.83	-7.1	0	3.4861	332.484	3	2	4	0	24	1	[(3, 'R'), (4, 'R'), (7, 'S'), (8, 'S'), (13, 'S'), (17, 'R'), (19, 'S'), (22, 'S')]	0	Anodyne	57	EGABRN	EG	hmdbendo
